ids,labels,parents,values
Neofolk‏‎1980,Neofolk‏‎,folk1980,1
Neofolk1980,Neofolk,folk1980,1
Irish Folk1980,Irish Folk,folk1980,1
Folk Metal1980,Folk Metal,folk1980,1
Folk Rock1980,Folk Rock,folk1980,1
Folk1980,Folk,folk1980,1
bossa nova1980,bossa nova,1980,1
Bossa Nova1980,Bossa Nova,bossa nova1980,1
1990,1990,,1236
hip hop1990,hip hop,1990,5
Hip Hop1990,Hip Hop,hip hop1990,1
French Hip Hop1990,French Hip Hop,hip hop1990,1
Political Hip Hop1990,Political Hip Hop,hip hop1990,1
Australian Hip Hop1990,Australian Hip Hop,hip hop1990,1
Alternative Hip Hop1990,Alternative Hip Hop,hip hop1990,1
pop rock1990,pop rock,1990,1
Pop Rock1990,Pop Rock,pop rock1990,1
rock1990,rock,1990,35
Rap Rock1990,Rap Rock,rock1990,1
Garage Rock1990,Garage Rock,rock1990,1
Deutschrock1990,Deutschrock,rock1990,1
Soft Rock1990,Soft Rock,rock1990,1
Blues Rock1990,Blues Rock,rock1990,1
Indie Rock1990,Indie Rock,rock1990,1
Pop Rock1990,Pop Rock,rock1990,1
Stoner Rock1990,Stoner Rock,rock1990,1
Gothic Rock1990,Gothic Rock,rock1990,1
Comedy Rock1990,Comedy Rock,rock1990,1
Art Rock1990,Art Rock,rock1990,1
Southern Rock1990,Southern Rock,rock1990,1
Hard Rock1990,Hard Rock,rock1990,1
Rock1990,Rock,rock1990,1
Christian Rock1990,Christian Rock,rock1990,1
Psychedelic Rock1990,Psychedelic Rock,rock1990,1
Country Rock1990,Country Rock,rock1990,1
Noise Rock1990,Noise Rock,rock1990,1
Arena Rock1990,Arena Rock,rock1990,1
Experimental Rock1990,Experimental Rock,rock1990,1
Rock 'N' Roll1990,Rock 'N' Roll,rock1990,1
Post-Rock1990,Post-Rock,rock1990,1
Punk Rock1990,Punk Rock,rock1990,1
Piano Rock1990,Piano Rock,rock1990,1
Alternative Rock1990,Alternative Rock,rock1990,1
Electronic Rock1990,Electronic Rock,rock1990,1
Samba-Rock1990,Samba-Rock,rock1990,1
Glam Rock1990,Glam Rock,rock1990,1
Rockabilly1990,Rockabilly,rock1990,1
Latin Rock1990,Latin Rock,rock1990,1
Industrial Rock1990,Industrial Rock,rock1990,1
Symphonic Rock1990,Symphonic Rock,rock1990,1
Brazilian Rock1990,Brazilian Rock,rock1990,1
Progressive Rock1990,Progressive Rock,rock1990,1
Folk Rock1990,Folk Rock,rock1990,1
metal1990,metal,1990,22
Progressive Metal1990,Progressive Metal,metal1990,1
Industrial Metal1990,Industrial Metal,metal1990,1
Symphonic Metal1990,Symphonic Metal,metal1990,1
Doom Metal1990,Doom Metal,metal1990,1
Avant-garde Metal1990,Avant-garde Metal,metal1990,1
Christian Metal1990,Christian Metal,metal1990,1
Pagan Metal1990,Pagan Metal,metal1990,1
Death Metal1990,Death Metal,metal1990,1
Glam Metal1990,Glam Metal,metal1990,1
Gothic Metal1990,Gothic Metal,metal1990,1
Alternative Metal1990,Alternative Metal,metal1990,1
Black Metal1990,Black Metal,metal1990,1
Folk Metal1990,Folk Metal,metal1990,1
Viking Metal1990,Viking Metal,metal1990,1
Power Metal1990,Power Metal,metal1990,1
Post-Metal1990,Post-Metal,metal1990,1
Heavy Metal1990,Heavy Metal,metal1990,1
Thrash Metal1990,Thrash Metal,metal1990,1
Technical Death Metal1990,Technical Death Metal,metal1990,1
Groove Metal1990,Groove Metal,metal1990,1
Symphonic Black Metal1990,Symphonic Black Metal,metal1990,1
Metalcore1990,Metalcore,metal1990,1
electronic1990,electronic,1990,4
Electronicore1990,Electronicore,electronic1990,1
Electronic Rock1990,Electronic Rock,electronic1990,1
Electronic1990,Electronic,electronic1990,1
Electronica1990,Electronica,electronic1990,1
pop1990,pop,1990,21
Britpop1990,Britpop,pop1990,1
J-Pop1990,J-Pop,pop1990,1
Pop Rock1990,Pop Rock,pop1990,1
Synthpop1990,Synthpop,pop1990,1
Indie Pop1990,Indie Pop,pop1990,1
Pop-Rap1990,Pop-Rap,pop1990,1
Bubblegum Pop1990,Bubblegum Pop,pop1990,1
French Pop1990,French Pop,pop1990,1
